"","V1","V2"
"1083",-77,43
"1084",-86,35
"1085",-88,33
"1086",-70,46
"1087",-85,35
"1088",-90,30
"1089",-84,33
"1090",-68,45
"1091",-83,36
"1092",-75,41
"1093",-91,32
"1094",-82,27
"1095",-80,35
"1096",-108,31
"1097",-107,35
"1098",-106,36
"1099",-107,35
"1100",-108,35
"1101",-107,35
"1102",-103,33
"1103",-104,36
"1104",-110,34
"1105",-111,36
"1106",-115,32
"1107",-111,36
"1108",-115,33
"1109",-114,35
"1110",-114,33
"1111",-111,34
"1112",-100,30
"1113",-107,36
"1114",-106,36
"1115",-105,36
"1116",-110,37
"1117",-109,35
"1118",-113,33
"1119",-106,37
"1120",-106,36
"1121",-107,36
"1122",-106,36
"1123",-107,28
"1124",-112,31
"1125",-104,23
"1126",-112,29
"1127",-100,22
"1128",-111,31
"1129",-110,28
"1130",-110,30
"1131",-107,27
"1132",-96,18
"1133",-96,17
"1134",-99,22
"1135",-98,18
"1136",-99,20
"1137",-96,16
"1138",-99,19
"1139",-95,18
"1140",-97,20
"1141",-97,18
"1142",-95.02,16.22
"1143",-95,17
"1144",-101,19
"1145",-98,19
"1146",-78,9
"1147",-92,17
"1148",-91,14
"1149",-88,14
"1150",-91,15
"1151",-90,14
"1152",-87,15
"1153",-91,15
"1154",-92,17
"1155",-89,14
"1156",-78,8
"1157",-83,9
"1158",-90,18
"1159",-89,16
"1160",-92,15
"1161",-85,13
"1162",-61.27,15.41
"1163",-74,11
"1164",-72,9
"1165",-64,9
"1166",-72,11
"1167",-72,12
"1168",-72,9
"1169",-75.37,19.94
"1170",-72.17,18.41
"1171",-62,9
"1172",-56.98,5.95
"1173",-63,6
"1174",-59,4
"1175",-66,6
"1176",-55,3
"1177",-62,4
"1178",-65,3
"1179",-68,6
"1180",-54,5
"1181",-68,7
"1182",-59,5
"1183",-69,5
"1184",-60,3
"1185",-56,4
"1186",-66,5
"1187",-67,5
"1188",-67,5
"1189",-58,-6
"1190",-52,-11
"1191",-52,3
"1192",-65,2
"1193",-57,-4
"1194",-63,4
"1195",-59,1
"1196",-66,4
"1197",-65,2
"1198",-64,-16
"1199",-79,1
"1200",-67,-12
"1201",-70,0
"1202",-70,-3
"1203",-78,-3
"1204",-72,-3
"1205",-71,1
"1206",-74,-1
"1207",-63,-18
"1208",-72,-10
"1209",-74,-9
"1210",-72,-13
"1211",-69,-16
"1212",-79,1
"1213",-72,7
"1214",-76,3
"1215",-72,5
"1216",-75,-8
"1217",-73,-12
"1218",-69,-16
"1219",-68.98,-55.02
"1220",-68,-39
"1221",-69,-54
"1222",-70,-46
"1223",-74,-52
"1224",-63,-24
"1225",-58,-21
"1226",-61,-29
"1227",-57,-22
"1228",-62,-22
"1229",-59,-20
"1230",-63,-20
"1231",-60,-25
"1232",-59,-23
"1233",-55,-16
"1234",-54,-13
"1235",-53,-12
"1236",-55,-14
"1237",-59,-12
"1238",-54,-12
